Projection,Measure,min,max,ave,stdev
Conformal,Scale,0.13851432495663646,inf,1.0002836698292024,0.17775409261659955
Conformal,Angle,0.002642313196550145,12.0,0.7472174418800294,2.484155286053122
Conformal,Distance,-370.5482673286815,215.54796872564475,-87.3332811501069,161.8638352701292
Conformal,Pct Distance,-0.05729241645837979,1.3877294245008254,0.0023861501755470665,0.07445810345006382
Gnomonic,Scale,0.8288023014604957,1.6470347752187289,1.0000061737976587,0.14246446365093762
Gnomonic,Angle,5.341017163178383e-05,13.087226933560618,3.4087649358198417,2.5331524166791444
Gnomonic,Distance,-371.5381338069801,211.4950955709935,-96.42679277809542,166.2815379566309
Gnomonic,Pct Distance,-0.05760047356432185,0.322149223321605,-0.002417438686376581,0.06033833948770453
Bisect,Scale,0.7167641797685435,1.1861226980116892,0.999958423274391,0.03490442868561726
Bisect,Angle,0.0031732897347922623,13.724665914900616,6.319779928386688,3.1124090482044573
Bisect,Distance,-369.5113357166101,62.542008006916376,-80.66916796330835,99.91764844910284
Bisect,Pct Distance,-0.057132164610351976,0.10766445831992733,-0.01104292970694838,0.023470368328577126
Areal,Scale,0.9462513408074302,1.1554553981686198,0.9999992368471761,0.040182806531932236
Areal,Angle,0.004271950436395591,13.113760021050082,6.180551234942561,2.560035586984577
Areal,Distance,-370.34870882953237,76.64348586505162,-83.90264589586648,110.09798248530741
Areal,Pct Distance,-0.05726163543818197,0.1079122696246615,-0.010674412596327941,0.026642446481442126
Fuller explicit,Scale,0.9506459738245439,1.077597846368691,0.9999968184957613,0.029228319051206608
Fuller explicit,Angle,0.005369585132899357,13.12258094703826,7.038798475969497,2.6210813540762627
Fuller explicit,Distance,-370.42849656627186,57.086869173268724,-82.546467365111,105.43642798704256
Fuller explicit,Pct Distance,-0.05727397185568439,0.07007364789890858,-0.012097450936736342,0.022361604669360078
Fuller Tweaked,Scale,0.9170853981411105,1.0769198735450087,1.0000039536004666,0.031005870590903983
Fuller Tweaked,Angle,0.005272028394044334,14.584360424048086,7.737273429341673,3.180469941667533
Fuller Tweaked,Distance,-369.15143511115275,24.40806482049743,-76.54510589850929,87.52833223638171
Fuller Tweaked,Pct Distance,-0.05707651841320771,0.06929530004022699,-0.013268461077740337,0.015946382961733247
Snyder Symmetrized,Scale,0.9615362757160069,1.031385472622476,0.9999958809897516,0.0008285219988722064
Snyder Symmetrized,Angle,0.006776757910878888,11.34094061276207,7.820199438918982,2.2829808560983276
Snyder Symmetrized,Distance,-370.0313101017273,13.698719869809793,-78.70148758615197,94.31828108673767
Snyder Symmetrized,Pct Distance,-0.05721256068833991,0.01726800906781345,-0.0138584867111178,0.016265624474496237
Snyder Equal-Area,Scale,1.0,1.0,1.0,0.0
Snyder Equal-Area,Angle,2.2979716972759943,16.604898422254983,9.474798644819591,3.0682916631595054
Snyder Equal-Area,Distance,-370.3394215274893,34.17904541987309,-78.6229017482635,96.79005433322232
Snyder Equal-Area,Pct Distance,-0.05726019947771788,0.050341316587791285,-0.013894736871613592,0.017947726822443662
