name,avgomega,maxomega,avgld,maxld,minscale,maxscale,scalerat
Canada Atlas,Chamberlin,0.6625284793260928,1.9637766063546107,14.528344426848102,25.849304083253855,0.9836646524112203,1.031267394500924,4.839326285946832
Canada Atlas,Matrix,1.9201367621163745,5.814701126759863,10.54901118901389,26.23927575893765,0.9632646551677786,1.0966695850671906,13.849249962999611
Canada Wall Map,Chamberlin,0.43321626014475284,1.3423674822075897,19.25000368583853,30.53602959526893,0.9882993134950827,1.0166179264635264,2.8653883071410924
Canada Wall Map,Matrix,1.4186418926211544,4.117597586589699,14.090563746673386,31.01347399116912,0.9916113383892889,1.054825060520857,6.374848661396748
NW South America,Chamberlin,0.34847219342145574,1.2587797764244213,22.715209886454144,35.102893509395926,0.9893738274387228,1.013634301279275,2.4521038628399383
NW South America,Matrix,1.321513190708348,3.9418610467804855,16.843937168354675,35.269569950719415,1.0095706816969152,1.0478920606265643,3.7958094093260897
Australia,Chamberlin,0.34795967430175073,1.1655983105238488,23.07400240283977,35.70858668555525,0.9893098969147612,1.0107098990023575,2.16312422976197
Australia,Matrix,1.330816664059289,3.629391151591022,17.1480204995876,35.82838719645474,1.0082880024909815,1.038487078912027,2.9950843753410394
S South America,Chamberlin,0.4211346113675435,1.612849826895556,22.53603786190774,35.24213083811992,0.9882495572499311,1.0210602247459506,3.3200791495747284
S South America,Matrix,1.4443885689939533,4.8462641144342555,16.58827644769432,35.62828450811594,1.0051087762765374,1.066878292621764,6.145555367057276
E South America,Chamberlin,0.40040535661582305,1.5632722115900246,25.25226545946535,39.48321237245659,0.9882855189287851,1.0180642135443443,3.0131671511120173
E South America,Matrix,1.4691917064302435,4.6191992700954145,18.54095119629375,39.72571502674214,1.0075661040298185,1.0557980540679561,4.786976243566676
Europe Wall Map,Chamberlin,0.4268229208513367,1.637925623879299,35.4889296600652,55.561304471641506,0.9864136851328866,1.0140998304532944,2.8067478926631084
Europe Wall Map,Matrix,1.735965974718182,4.911723453101871,25.956127827543817,55.56872621892671,1.0143523414425817,1.0465655770430433,3.1757441950248655
South America Wall Map,Chamberlin,0.9443012094821229,3.6453122334453862,93.03706850532393,146.54397445288032,0.973772241211383,1.0377725419740398,6.57240965125887
South America Wall Map,Matrix,3.442451372508581,10.617937766368366,66.87316190028587,147.15313947443883,1.0222733763383416,1.124125137666964,9.963260678219266
North America Wall Map,Chamberlin,1.144918945113121,4.405796544481215,142.71920822114888,225.79855795342246,0.9676623218395796,1.034395458339066,6.896324781213248
North America Wall Map,Matrix,4.409086694079694,12.776139204704792,101.88786773686957,225.87000524041378,1.0376638877787137,1.1195451102873795,7.89091954273804
Africa Wall Map,Chamberlin,1.5443272516007638,5.630831444847811,222.31795563957877,354.0469462131168,0.9585658893196523,1.0294765281800002,7.397575863113315
Africa Wall Map,Matrix,5.9118335667367905,16.232317841144603,157.42900267956784,353.9987052229444,1.0532294979768793,1.115331080101985,5.896301066804055
